,County,Area,Tract,GEOID,day,night,DevelopedArea,Pop,State,Black,Asian,White,Hispanic,nonUS,Edu,SP,Age,Income,Housing
31436,Suffolk County Massachusetts,1787739.74494944,Census Tract 1,25025000100,11.2439872775097,3.913724343773,1416553.07360217,3264,MA,0.0572916666666667,0.130514705882353,0.585171568627451,0.215379901960784,0.139093137254902,0.517830045523521,0.347619047619048,0.0600490196078431,27292.0,1584.0
31437,Suffolk County Massachusetts,601648.261054907,Census Tract 2.01,25025000201,10.0868328347845,3.75323032957641,542196.650375306,3073,MA,0.0602017572404816,0.0706150341685649,0.738366417181907,0.100227790432802,0.0911161731207289,0.257569296375267,0.261627906976744,0.0383989586723072,34841.0,1663.0
31438,Suffolk County Massachusetts,601106.581146076,Census Tract 2.02,25025000202,10.532018897865,3.77509304673974,602306.763116575,3482,MA,0.10511200459506,0.200459506031017,0.554279149913843,0.157955198161976,0.0600229753015508,0.312606473594549,0.719710669077758,0.0442274554853532,33429.0,1432.0
31439,Suffolk County Massachusetts,573118.084978331,Census Tract 3.01,25025000301,8.23355513409551,3.35900523560208,271062.410114124,2437,MA,0.0221583914649159,0.114485022568732,0.789084940500616,0.0763233483791547,0.0775543701272056,0.327726532826913,0.454198473282443,0.0874025441116126,41414.0,1609.0
31440,Suffolk County Massachusetts,639870.858460106,Census Tract 3.02,25025000302,8.21853493104226,3.33098063154722,640568.868039599,2673,MA,0.0490086045641601,0.169098391320614,0.728020950243172,0.0205761316872428,0.13692480359147,0.272681451612903,0.146341463414634,0.0531238309016087,33454.0,1566.0
31441,Suffolk County Massachusetts,430423.675528753,Census Tract 4.01,25025000401,9.79369828456105,3.69836848301377,430588.316099877,5074,MA,0.0370516357903035,0.221127315727237,0.635593220338983,0.099329917225069,0.147615293653922,0.314056939501779,0.21875,0.110366574694521,23859.0,1329.0
31442,Suffolk County Massachusetts,800858.991068603,Census Tract 4.02,25025000402,9.09219946343524,3.55209670223667,800777.552338005,3081,MA,0.0567997403440441,0.172346640701071,0.694904251866277,0.0817916260954236,0.10126582278481,0.134320735444331,0.562189054726368,0.0360272638753651,29242.0,1708.0
31443,Suffolk County Massachusetts,1209212.63481224,Census Tract 5.02,25025000502,7.5669938453159,3.35060657679737,886469.904342831,5585,MA,0.0309758281110116,0.133751119068935,0.738406445837064,0.0900626678603402,0.0929274843330349,0.158380317785751,0.0,0.0376007162041182,6638.0,1588.0
31444,Suffolk County Massachusetts,137907.026930375,Census Tract 5.03,25025000503,9.28833333333333,3.73499999999999,138063.89469784,1903,MA,0.0304781923279033,0.0993168681029953,0.791907514450867,0.0551760378349974,0.117708880714661,0.106666666666667,0.0,0.0730425643720441,35948.0,1633.0
31445,Suffolk County Massachusetts,333939.430084447,Census Tract 5.04,25025000504,9.67405696623047,3.7637888898518,334258.128980928,4223,MA,0.0461757044754914,0.114610466493014,0.737864077669903,0.0793274923040493,0.137343121004026,0.208279430789133,0.0,0.146104664930144,23036.0,1451.0
31446,Suffolk County Massachusetts,496082.498110922,Census Tract 6.01,25025000601,11.0132587384023,3.79787701075644,496339.137436811,3179,MA,0.0179301667190941,0.206668763762189,0.687952186222082,0.0846178043409877,0.0849323686693929,0.260029717682021,0.393782383419689,0.0783265177728846,32161.0,1642.0
31447,Suffolk County Massachusetts,598591.853032101,Census Tract 6.02,25025000602,11.6470860526952,3.78628454596727,599123.252862669,3448,MA,0.112819025522042,0.149651972157773,0.552204176334107,0.157482598607889,0.142111368909513,0.316037735849057,0.514285714285714,0.072215777262181,20784.0,1217.0
31448,Suffolk County Massachusetts,225172.351214073,Census Tract 7.01,25025000701,12.1420712847535,3.89878079081522,225378.28878485,3461,MA,0.0875469517480497,0.226235192141,0.55908696908408,0.100548974284889,0.194741404218434,0.188617886178862,0.264900662251656,0.027448714244438,30326.0,1352.0
31449,Suffolk County Massachusetts,175105.675913831,Census Tract 7.03,25025000703,12.428986319433,3.80499505521674,175719.708406097,2247,MA,0.106809078771696,0.216733422340899,0.604361370716511,0.0765465064530485,0.186470850022252,0.145710928319624,0.0,0.0057854917668001,11644.0,1381.0
31450,Suffolk County Massachusetts,243914.732583648,Census Tract 7.04,25025000704,12.5693603892251,4.06471460780823,244077.820651425,4305,MA,0.0901277584204414,0.164692218350755,0.628106852497096,0.108710801393728,0.137979094076655,0.164242639233771,0.244755244755245,0.0185830429732869,34230.0,1413.0
31451,Suffolk County Massachusetts,984422.13767153,Census Tract 8.02,25025000802,12.7807067905861,3.73212981561984,965984.372321155,7232,MA,0.0837942477876106,0.140348451327434,0.547842920353982,0.228429203539823,0.168556415929204,0.339684959349593,0.511363636363636,0.0272400442477876,21331.0,1695.0
31452,Suffolk County Massachusetts,1156033.53880399,Census Tract 8.03,25025000803,11.6743462508677,3.59863159632283,1140365.54356809,6108,MA,0.0731827111984283,0.163555992141454,0.62426326129666,0.105271774721676,0.188441388343157,0.13633169360506,0.288659793814433,0.0027832351015062,4617.0,1862.0
31453,Suffolk County Massachusetts,270237.224586079,Census Tract 101.03,25025010103,9.28,2.80499999999998,157853.994891238,3704,MA,0.0602051835853132,0.236231101511879,0.605291576673866,0.0855831533477322,0.162257019438445,0.0163934426229508,,0.0048596112311015,2576.0,1387.0
31454,Suffolk County Massachusetts,284487.342497553,Census Tract 101.04,25025010104,9.07087027956548,2.87104096434773,283530.26652114,4686,MA,0.0565514297908664,0.171148100725566,0.658130601792574,0.108408023900982,0.168373879641485,0.10636277302944,0.575539568345324,0.0463081519419548,12758.0,1677.0
31455,Suffolk County Massachusetts,367610.466350745,Census Tract 102.03,25025010203,9.81558023091422,3.05066162032673,368797.091142004,4751,MA,0.0490423068827615,0.151968006735424,0.663860239949484,0.129656914333824,0.255314670595664,0.103411513859275,0.0,0.0208377183750789,31952.0,1681.0
31456,Suffolk County Massachusetts,259653.366299331,Census Tract 102.04,25025010204,9.37996300512237,2.84775327262377,152677.525310202,3265,MA,0.0208269525267994,0.283920367534456,0.618376722817764,0.0529862174578867,0.244410413476263,0.0298210735586481,0.0,0.001531393568147,8316.0,1519.0
31457,Suffolk County Massachusetts,516112.161874349,Census Tract 103,25025010300,11.0842157797342,3.67656283295014,516597.071610754,5202,MA,0.0701653210303729,0.110149942329873,0.703575547866205,0.0809304113802384,0.0965013456362937,0.191780821917808,0.872340425531915,0.0015378700499807,3597.0,1440.0
